nameFirst,nameLast,Age,teamName,NrRankR
Joe,Altobelli,45,San Francisco Giants,4
Craig,Counsell,45,Milwaukee Brewers,2
John,Felske,45,Philadelphia Phillies,1
Dallas,Green,45,Philadelphia Phillies,2
Trey,Hillman,45,Kansas City Royals,2
Clint,Hurdle,45,Colorado Rockies,6
Hughie,Jennings,45,Detroit Tigers,3
Jim,Marshall,45,Chicago Cubs,1
Jackie,Moore,45,Oakland Athletics,1
Jerry,Narron,45,Texas Rangers,2
Tony,Pena,45,Kansas City Royals,1
Norm,Sherry,45,California Angels,1
Dick,Sisler,45,Cincinnati Reds,1
Birdie,Tebbetts,45,Cincinnati Redlegs,3
Del,Baker,46,Detroit Tigers,2
Dusty,Baker,46,San Francisco Giants,4
Ossie,Bluege,46,Washington Senators,1
Jimmy,Burke,46,St. Louis Browns,1
Phil,Garner,46,Milwaukee Brewers,2
Fredi,Gonzalez,46,Florida Marlins,2
Charlie,Grimm,46,Chicago Cubs,1
Pinky,Higgins,46,Boston Red Sox,2
Art,Howe,46,Houston Astros,4
Walter,Johnson,46,Cleveland Indians,1
Steve,O'Neill,46,Cleveland Indians,4
Doug,Rader,46,California Angels,1
Red,Schoendienst,46,St. Louis Cardinals,5
Chuck,Tanner,46,Chicago White Sox,3
Alan,Trammell,46,Detroit Tigers,2
Steve,Boros,47,Oakland Athletics,3
Billy,Hitchcock,47,Baltimore Orioles,1
Mike,Jorgensen,47,St. Louis Cardinals,1
Tony,LaRussa,47,Oakland Athletics,5
Gabby,Street,47,St. Louis Cardinals,1
Robin,Ventura,47,Chicago White Sox,3
Don,Wakamatsu,47,Seattle Mariners,1
Sparky,Anderson,48,Detroit Tigers,3
Johnny,Cooney,48,Boston Braves,1
Roger,Craig,48,San Diego Padres,3
Bob,Geren,48,Oakland Athletics,2
Buck,Rodgers,48,Montreal Expos,3
Burt,Shotton,48,Philadelphia Phillies,1
Earl,Weaver,48,Baltimore Orioles,2
Walter,Alston,49,Los Angeles Dodgers,2
Don,Baylor,49,Colorado Rockies,1
Buddy,Bell,49,Colorado Rockies,2
Ken,Boyer,49,St. Louis Cardinals,1
John,Farrell,49,Toronto Blue Jays,2
Jack,Hendricks,49,Cincinnati Reds,1
Whitey,Herzog,49,St. Louis Cardinals,2
Roy,Johnson,49,Chicago Cubs,1
Frank,Lucchesi,49,Texas Rangers,1
Bill,Norman,49,Detroit Tigers,1
Cookie,Rojas,49,California Angels,1
Bob,Scheffing,49,Detroit Tigers,1
Don,Zimmer,49,Boston Red Sox,3
Terry,Collins,50,Anaheim Angels,3
Lee,Elia,50,Philadelphia Phillies,1
Jim,Lefebvre,50,Chicago Cubs,2
Bob,Lemon,50,Kansas City Royals,3
Lee,Mazzilli,50,Baltimore Orioles,1
Cal,Ripken,50,Baltimore Orioles,1
Moose,Stubing,50,California Angels,1
Bob,Swift,50,Detroit Tigers,1
Jim,Tracy,50,Los Angeles Dodgers,2
Preston,Gomez,51,Houston Astros,1
Mike,Hargrove,51,Baltimore Orioles,6
Billy,Martin,51,New York Yankees,1
Eddie,Stanky,51,Chicago White Sox,2
Walt,Weiss,51,Colorado Rockies,1
Jo-Jo,White,51,Cleveland Indians,1
Ted,Williams,51,Washington Senators,1
Buddy,Black,52,San Diego Padres,2
Cito,Gaston,52,Toronto Blue Jays,4
Chip,Hale,52,Arizona Diamondbacks,1
Ralph,Houk,52,New York Yankees,5
Charlie,Metro,52,Kansas City Royals,1
Tony,Muser,52,Kansas City Royals,3
Lefty,Phillips,52,California Angels,1
Bryan,Price,52,Cincinnati Reds,1
Harry,Walker,52,Houston Astros,2
Ned,Yost,52,Milwaukee Brewers,2
Marcel,Lachemann,53,California Angels,2
Al,Lopez,53,Chicago White Sox,1
Brad,Mills,53,Houston Astros,1
Hank,O'Day,53,Cincinnati Reds,2
Larry,Dierker,54,Houston Astros,1
Jim,Frey,54,Chicago Cubs,1
Billy,Gardner,54,Minnesota Twins,2
Johnny,Oates,54,Texas Rangers,2
Sam,Perlozzo,54,Baltimore Orioles,2
Ryne,Sandberg,54,Philadelphia Phillies,1
Bob,Lillis,55,Houston Astros,1
Billy,Meyer,55,Pittsburgh Pirates,1
Ron,Washington,55,Texas Rangers,1
