W,L,yearID,nameGiven,NameLast,teamID
98,64,1983,Joseph Salvatore,Altobelli,BAL
98,64,1985,David Allen,Johnson,NYN
98,64,1987,George Lee,Anderson,DET
98,64,1991,James Richard,Leyland,PIT
98,64,1992,Robert Joe,Cox,ATL
98,64,1997,David Allen,Johnson,BAL
98,64,1998,Bruce Douglas,Bochy,SDN
98,64,1999,Joseph Paul,Torre,NYA
98,64,2002,Robert Earl,Brenly,ARI
98,64,2004,Terry Jon,Francona,BOS
98,64,2012,David Allen,Johnson,WAS
98,64,2014,Michael Lorri,Scioscia,LAA
98,64,2015,Clinton Merrick,Hurdle,PIT
97,56,1941,William Harold,Southworth,SLN
97,57,1939,William Boyd,McKechnie,CIN
97,57,1947,Stanley Raymond,Harris,NYA
97,57,1949,Burton Edwin,Shotton,BRO
97,57,1949,Charles Dillon,Stengel,NYA
97,57,1954,Leo Ernest,Durocher,NY1
97,57,1956,Charles Dillon,Stengel,NYA
97,57,1960,Charles Dillon,Stengel,NYA
97,58,1948,Louis,Boudreau,CLE
97,60,1951,Charles Walter,Dressen,BRO
97,62,1976,Alfred Manuel,Martin,NYA
97,63,1966,Henry Albert,Bauer,BAL
97,64,1977,Earl Sidney,Weaver,BAL
97,64,1977,Donald William,Zimmer,BOS
97,64,2008,Louis Victor,Piniella,CHN
97,65,1964,Henry Albert,Bauer,BAL
97,65,1965,Walter Emmons,Alston,LAN
97,65,1968,Albert Fred,Schoendienst,SLN
97,65,1969,Alfred Manuel,Martin,MIN
97,65,1971,Daniel Edward,Murtaugh,PIT
97,65,1973,Earl Sidney,Weaver,BAL
97,65,1980,James Gottfried,Frey,KCA
97,65,1993,James Louis,Fregosi,PHI
97,65,1999,Dudley Michael,Hargrove,CLE
97,65,2000,Johnnie B.,Baker,SFN
97,65,2002,Anthony,LaRussa,SLN
97,65,2006,Joseph Paul,Torre,NYA
97,65,2006,Willie Larry,Randolph,NYN
97,65,2008,Joseph John,Maddon,TBA
97,65,2009,Michael Lorri,Scioscia,LAA
97,65,2010,Charles Fuqua,Manuel,PHI
97,65,2011,Joseph Elliott,Girardi,NYA
97,65,2012,Johnnie B.,Baker,CIN
97,65,2013,John Edward,Farrell,BOS
97,65,2013,Michael Scott,Matheny,SLN
97,66,1999,Robert John,Valentine,NYN
97,95,2015,Joseph John,Maddon,CHN
96,53,1898,Edward Hugh,Hanlon,BLN
96,55,1925,Stanley Raymond,Harris,WS1
96,56,1906,John Joseph,McGraw,NY1
96,57,1905,Fred Clifford,Clarke,PIT
96,57,1913,Cornelius Alexander,Mack,PHA
96,57,1952,Charles Walter,Dressen,BRO
96,58,1920,William J.,Gleason,CHA
96,58,1935,Frank Francis,Frisch,SLN
96,58,1949,Joseph Vincent,McCarthy,BOS
96,58,1949,Edwin Hawley,Dyer,SLN
96,58,1955,Charles Dillon,Stengel,NYA
96,59,1948,Joseph Vincent,McCarthy,BOS
96,59,1972,William Charles,Virdon,PIT
96,60,1946,Leo Ernest,Durocher,BRO
96,65,1984,James Gottfried,Frey,CHN
96,66,1962,Ralph George,Houk,NYA
96,66,1977,Charles William,Tanner,PIT
96,66,1986,Harold Clifton,Lanier,HOU
96,66,1987,James Francis,Williams,TOR
96,66,1992,Anthony,LaRussa,OAK
96,66,1992,James Richard,Leyland,PIT
96,66,1992,Clarence Edwin,Gaston,TOR
96,66,1996,Robert Joe,Cox,ATL
96,66,1997,Joseph Paul,Torre,NYA
96,66,2003,Kenneth Edward,Macha,OAK
96,66,2004,Robert Joe,Cox,ATL
96,66,2006,Ronald Clyde,Gardenhire,MIN
96,66,2007,Terry Jon,Francona,BOS
96,66,2007,Eric Michael,Wedge,CLE
96,66,2010,Joseph John,Maddon,TBA
96,66,2011,Ronald Jon,Roenicke,MIL
96,66,2011,Ronald,Washington,TEX
96,66,2013,Fredi Jesus,Gonzalez,ATL
96,66,2013,Robert Paul,Melvin,OAK
96,66,2014,William Nathaniel,Showalter,BAL
96,66,2014,Matthew Derrick,Williams,WAS
96,67,1999,John Aloysius,McKeon,CIN
95,57,1899,Frank Gibson,Selee,BSN
95,57,1937,William Harold,Terry,NY1
95,58,1909,Cornelius Alexander,Mack,PHA
95,58,1923,John Joseph,McGraw,NY1
95,58,1925,William Boyd,McKechnie,PIT
95,58,1934,Frank Francis,Frisch,SLN
95,59,1892,John Montgomery,Ward,BRO
95,59,1904,James Joseph,Collins,BOS
95,59,1920,Miller James,Huggins,NYA
95,59,1928,William Boyd,McKechnie,SLN
95,59,1945,William Harold,Southworth,SLN
95,59,1950,Robert Abial,Rolfe,DET
95,59,1952,Charles Dillon,Stengel,NYA
95,59,1957,Fred Girard,Haney,ML1
95,59,1960,Daniel Edward,Murtaugh,PIT
95,59,1972,George Lee,Anderson,CIN
95,65,1975,Darrell Dean,Johnson,BOS
95,65,1979,Richard Hirschfeld,Williams,MON
95,65,2001,Joseph Paul,Torre,NYA
95,66,1973,Walter Emmons,Alston,LAN
95,66,1979,George Irvin,Bamberger,ML4
95,66,1986,John Francis,McNamara,BOS
95,66,2002,Johnnie B.,Baker,SFN
95,67,1965,Alfonso Ramon,Lopez,CHA
95,67,1965,Herman Louis,Franks,SFN
95,67,1966,Walter Emmons,Alston,LAN
95,67,1978,Thomas Charles,Lasorda,LAN
95,67,1985,Thomas Charles,Lasorda,LAN
95,67,1987,Dorrel Norman Elvert,Herzog,SLN
95,67,1990,James Richard,Leyland,PIT
95,67,1991,Jay Thomas,Kelly,MIN
95,67,1993,Clarence Edwin,Gaston,TOR
95,67,1999,Johnny Lane,Oates,TEX
95,67,2000,Robert Joe,Cox,ATL
95,67,2000,Jerry,Manuel,CHA
95,67,2000,Anthony,LaRussa,SLN
95,67,2003,William Grady,Little,BOS
95,67,2005,Terry Jon,Francona,BOS
95,67,2005,Michael Lorri,Scioscia,LAA
95,67,2005,Joseph Paul,Torre,NYA
95,67,2006,James Richard,Leyland,DET
95,67,2008,Terry Jon,Francona,BOS
95,67,2009,Terry Jon,Francona,BOS
95,67,2009,Joseph Paul,Torre,LAN
95,67,2010,Joseph Elliott,Girardi,NYA
95,67,2011,James Richard,Leyland,DET
95,67,2012,Joseph Elliott,Girardi,NYA
95,67,2015,Edgar Frederick,Yost,KCA
