nameFirst,nameLast,Age,teamName,NrRankR
Fred,Hutchinson,42,Cincinnati Reds,1
Joe,McCarthy,42,Chicago Cubs,9
Joe,Torre,42,Atlanta Braves,13
Miller,Huggins,43,New York Yankees,6
Davey,Johnson,43,New York Mets,6
Mike,Matheny,43,St. Louis Cardinals,3
Sam,Mele,43,Minnesota Twins,1
Gene,Michael,43,New York Yankees,1
Danny,Murtaugh,43,Pittsburgh Pirates,5
Buck,Rodgers,43,Milwaukee Brewers,2
Luke,Sewell,43,St. Louis Browns,1
Walter,Alston,44,Brooklyn Dodgers,7
Hank,Bauer,44,Baltimore Orioles,1
Bobby,Cox,44,Toronto Blue Jays,15
Hal,Lanier,44,Houston Astros,1
Dave,Roberts,44,Los Angeles Dodgers,1
Red,Schoendienst,44,St. Louis Cardinals,2
Brad,Ausmus,45,Detroit Tigers,1
Ron,Gardenhire,45,Minnesota Twins,6
Cito,Gaston,45,Toronto Blue Jays,5
Joe,Girardi,45,New York Yankees,3
Whitey,Herzog,45,Kansas City Royals,6
Gil,Hodges,45,New York Mets,1
Gene,Tenace,45,Toronto Blue Jays,1
Dallas,Green,46,Philadelphia Phillies,2
Mike,Hargrove,46,Cleveland Indians,5
Jim,Leyland,46,Pittsburgh Pirates,6
Al,Lopez,46,Cleveland Indians,2
Bob,Melvin,46,Arizona Diamondbacks,3
Bill,Phillips,46,Indianapolis Hoosiers,1
Mike,Scioscia,46,Anaheim Angels,6
Clyde,Sukeforth,46,Brooklyn Dodgers,1
Jimy,Williams,46,Toronto Blue Jays,1
Bob,Brenly,47,Arizona Diamondbacks,2
Jack,Chapman,47,Louisville Colonels,1
Eddie,Dyer,47,St. Louis Cardinals,1
Darrell,Johnson,47,Boston Red Sox,1
Gene,Lamont,47,Chicago White Sox,2
Jerry,Manuel,47,Chicago White Sox,1
John,McNamara,47,Cincinnati Reds,3
Lou,Piniella,47,Cincinnati Reds,6
George,Stallings,47,Boston Braves,1
Del,Baker,48,Detroit Tigers,1
Dusty,Baker,48,San Francisco Giants,6
Terry,Francona,48,Boston Red Sox,2
Gabby,Street,48,St. Louis Cardinals,2
Jim,Frey,49,Kansas City Royals,3
Fredi,Gonzalez,49,Atlanta Braves,1
Billy,Southworth,49,St. Louis Cardinals,4
Jim,Tracy,49,Los Angeles Dodgers,1
Matt,Williams,49,Washington Nationals,1
Ed,Barrow,50,Boston Red Sox,1
Charlie,Fox,50,San Francisco Giants,1
Tom,Lasorda,50,Los Angeles Dodgers,8
Johnny,Oates,50,Texas Rangers,3
Joe,Altobelli,51,Baltimore Orioles,1
Jeff,Banister,51,Texas Rangers,2
Larry,Dierker,51,Houston Astros,5
John,Farrell,51,Boston Red Sox,2
Chuck,Tanner,51,Pittsburgh Pirates,1
Harvey,Kuenn,52,Milwaukee Brewers,1
Don,Mattingly,52,Los Angeles Dodgers,3
Willie,Randolph,52,New York Mets,1
Bill,Rigney,52,Minnesota Twins,1
Wilbert,Robinson,52,Brooklyn Robins,2
John,Gibbons,53,Toronto Blue Jays,1
Kid,Gleason,53,Chicago White Sox,1
Johnny,Keane,53,St. Louis Cardinals,1
Ken,Macha,53,Oakland Athletics,2
Danny,Ozark,53,Philadelphia Phillies,3
Mayo,Smith,53,Detroit Tigers,1
Jim,Fanning,54,Montreal Expos,1
Kirk,Gibson,54,Arizona Diamondbacks,1
Lum,Harris,54,Atlanta Braves,1
Art,Howe,54,Oakland Athletics,2
Joe,Maddon,54,Tampa Bay Rays,3
Steve,O'Neill,54,Detroit Tigers,1
Ron,Roenicke,55,Milwaukee Brewers,1
