nameFirst,nameLast,Age,teamName,NrRankR
Dick,McBride,24,Philadelphia Athletics,1
Fred,Dunlap,25,St. Louis Maroons,1
Charlie,Comiskey,26,St. Louis Browns,4
Al,Spalding,26,Chicago White Stockings,1
Joe,Cronin,27,Washington Senators,2
Cap,Anson,28,Chicago White Stockings,5
Bucky,Harris,28,Washington Senators,3
John,Morrill,28,Boston Beaneaters,1
Pop,Snyder,28,Cincinnati Red Stockings,1
Patsy,Tebeau,28,Cleveland Spiders,1
Fred,Clarke,29,Pittsburgh Pirates,4
Bill,Watkins,29,Detroit Wolverines,1
Frank,Chance,30,Chicago Cubs,4
Rogers,Hornsby,30,St. Louis Cardinals,2
Lon,Knight,30,Philadelphia Athletics,1
Lou,Boudreau,31,Cleveland Indians,1
Jack,Burdock,31,Boston Beaneaters,1
Mickey,Cochrane,31,Detroit Tigers,2
John,McGraw,31,New York Giants,11
Bill,Carrigan,32,Boston Red Sox,2
Clark,Griffith,32,Chicago White Sox,1
Frank,Selee,32,Boston Beaneaters,5
Tris,Speaker,32,Cleveland Indians,1
George,Wright,32,Providence Grays,1
Jimmy,Collins,33,Boston Americans,2
Arthur,Irwin,33,Boston Reds,1
King,Kelly,33,Boston Reds,1
Jim,Mutrie,33,New York Metropolitans,3
Jake,Stahl,33,Boston Red Sox,1
Ted,Sullivan,33,St. Louis Maroons,1
Charlie,Grimm,34,Chicago Cubs,4
Bill,McGunnigle,34,Brooklyn Bridegrooms,2
Fielder,Jones,35,Chicago White Sox,1
Bill,Terry,35,New York Giants,3
Joe,Tinker,35,Chicago Whales,1
Sparky,Anderson,36,Cincinnati Reds,7
Leo,Durocher,36,Brooklyn Dodgers,3
Jim,Fregosi,37,California Angels,2
Frankie,Frisch,37,St. Louis Cardinals,1
Ned,Hanlon,37,Baltimore Orioles,5
Tom,Kelly,37,Minnesota Twins,2
Harry,Wright,37,Boston Red Stockings,6
Frank,Bancroft,38,Providence Grays,1
Gabby,Hartnett,38,Chicago Cubs,1
Hughie,Jennings,38,Detroit Tigers,4
Pants,Rowland,38,Chicago White Sox,1
Buck,Showalter,38,New York Yankees,3
Dick,Williams,38,Boston Red Sox,6
Yogi,Berra,39,New York Yankees,2
Tony,LaRussa,39,Chicago White Sox,12
Bill,McKechnie,39,Pittsburgh Pirates,4
Pat,Moran,39,Philadelphia Phillies,2
Earl,Weaver,39,Baltimore Orioles,6
Eric,Wedge,39,Cleveland Indians,1
Donie,Bush,40,Pittsburgh Pirates,1
Al,Dark,40,San Francisco Giants,3
Kevin,Kennedy,40,Texas Rangers,2
Connie,Mack,40,Philadelphia Athletics,9
Fred,Mitchell,40,Chicago Cubs,1
Eddie,Sawyer,40,Philadelphia Phillies,1
Bruce,Bochy,41,San Diego Padres,6
Ozzie,Guillen,41,Chicago White Sox,2
Billy,Martin,41,Minnesota Twins,6
Bill,Virdon,41,Pittsburgh Pirates,3
Pat,Corrales,42,Philadelphia Phillies,1
Ralph,Houk,42,New York Yankees,3
Dick,Howser,42,New York Yankees,5
