nameFirst,nameLast,awardID,yearID
Jesus,Pena,,
Santiago,Perez,,
Timo,Perez,,
Matt,Perisho,,
Dan,Perkins,,
Kevin,Pickford,,
Placido,Polanco,ALCS MVP,2006.0
Placido,Polanco,Gold Glove,2007.0
Placido,Polanco,Gold Glove,2009.0
Placido,Polanco,Gold Glove,2011.0
Placido,Polanco,Silver Slugger,2007.0
Placido,Polanco,TSN All-Star,2007.0
Colin,Porter,,
Brandon,Puffer,,
Steve,Rain,,
Edgar,Ramos,,
Scott,Randall,,
John,Riedling,,
Paul,Rigdon,,
Willis,Roberts,,
Alex,Rodriguez,Babe Ruth Award,2009.0
Alex,Rodriguez,Gold Glove,2002.0
Alex,Rodriguez,Gold Glove,2003.0
Alex,Rodriguez,Hank Aaron Award,2001.0
Alex,Rodriguez,Hank Aaron Award,2002.0
Alex,Rodriguez,Hank Aaron Award,2003.0
Alex,Rodriguez,Hank Aaron Award,2007.0
Alex,Rodriguez,Most Valuable Player,2003.0
Alex,Rodriguez,Most Valuable Player,2005.0
Alex,Rodriguez,Most Valuable Player,2007.0
Alex,Rodriguez,Silver Slugger,1996.0
Alex,Rodriguez,Silver Slugger,1998.0
Alex,Rodriguez,Silver Slugger,1999.0
Alex,Rodriguez,Silver Slugger,2000.0
Alex,Rodriguez,Silver Slugger,2001.0
Alex,Rodriguez,Silver Slugger,2002.0
Alex,Rodriguez,Silver Slugger,2003.0
Alex,Rodriguez,Silver Slugger,2005.0
Alex,Rodriguez,Silver Slugger,2007.0
Alex,Rodriguez,Silver Slugger,2008.0
Alex,Rodriguez,TSN All-Star,1996.0
Alex,Rodriguez,TSN All-Star,1998.0
Alex,Rodriguez,TSN All-Star,2000.0
Alex,Rodriguez,TSN All-Star,2001.0
Alex,Rodriguez,TSN All-Star,2002.0
Alex,Rodriguez,TSN All-Star,2003.0
Alex,Rodriguez,TSN All-Star,2005.0
Alex,Rodriguez,TSN All-Star,2007.0
Alex,Rodriguez,TSN Major League Player of the Year,1996.0
Alex,Rodriguez,TSN Major League Player of the Year,2002.0
Alex,Rodriguez,TSN Major League Player of the Year,2007.0
Scott,Rolen,Gold Glove,1998.0
Scott,Rolen,Gold Glove,2000.0
Scott,Rolen,Gold Glove,2001.0
Scott,Rolen,Gold Glove,2002.0
Scott,Rolen,Gold Glove,2003.0
Scott,Rolen,Gold Glove,2004.0
Scott,Rolen,Gold Glove,2006.0
Scott,Rolen,Gold Glove,2010.0
Scott,Rolen,Rookie of the Year,1997.0
Scott,Rolen,Silver Slugger,2002.0
Scott,Rolen,TSN All-Star,2002.0
Scott,Rolen,TSN All-Star,2003.0
Scott,Rolen,TSN All-Star,2004.0
Ryan,Rupe,,
B. J.,Ryan,,
Donnie,Sadler,,
Benj,Sampson,,
Rob,Sasser,,
Aaron,Scheffer,,
Marco,Scutaro,NLCS MVP,2012.0
Scott,Seabol,,
Todd,Sears,,
Fernando,Seguignol,,
Scot,Shields,,
Randall,Simon,,
Dan,Smith,,
Juan,Sosa,,
Steve,Sparks,,
Sean,Spencer,,
Junior,Spivey,,
Scott,Stewart,,
Ricky,Stone,,
Jeff,Suppan,NLCS MVP,2006.0
Mac,Suzuki,,
Hisanori,Takahashi,,
Yoshinori,Tateyama,,
Fernando,Tatis,,
Andy,Thompson,,
J. J.,Trujillo,,
Koji,Uehara,ALCS MVP,2013.0
Javier,Valentin,,
Jorge,Velandia,,
Brandon,Villafuerte,,
Daryle,Ward,,
Randy,Williams,,
Matt,Wise,,
Steve,Woodard,,
Jaret,Wright,,
Esteban,Yan,,
Ed,Yarnall,,
Victor,Zambrano,,
Jordan,Zimmerman,,
Julio,Zuleta,,
